Department Id,Department Name,Latitude,Longitude
2,Fitness,18.2514534,-66.03705597
2,Fitness,18.27945137,-66.0370636
2,Fitness,37.29223251,-121.881279
2,Fitness,34.12594605,-118.2910156
2,Fitness,18.25376892,-66.03704834
2,Fitness,43.01396942,-78.87906647
2,Fitness,18.24253845,-66.03705597
2,Fitness,25.92886925,-80.16287231
2,Fitness,18.23322296,-66.03705597
2,Fitness,37.77399063,-121.966629
2,Fitness,18.28284454,-66.03705597
2,Fitness,40.65486527,-73.58707428
2,Fitness,36.6763382,-121.656517
2,Fitness,18.27843857,-66.03705597
2,Fitness,42.52627564,-70.92703247
2,Fitness,18.28404999,-66.03705597
2,Fitness,18.3957901,-65.87288666
2,Fitness,33.89869309,-118.1745605
2,Fitness,18.233778,-66.0370636
2,Fitness,42.04830551,-87.96134186
2,Fitness,33.78245163,-118.1922455
2,Fitness,18.28337669,-66.03705597
2,Fitness,38.61177445,-121.2828674
2,Fitness,18.20733643,-66.03705597
2,Fitness,45.78831101,-108.5594101
2,Fitness,18.26163292,-66.03705597
2,Fitness,41.23545456,-75.86985779
2,Fitness,18.27022362,-66.0370636
2,Fitness,41.86886215,-84.57365418
2,Fitness,33.90942383,-118.1253586
2,Fitness,18.27526093,-66.0370636
2,Fitness,41.86544037,-88.10990143
2,Fitness,18.28713608,-66.03705597
2,Fitness,42.39110184,-83.13121796
2,Fitness,32.86539459,-96.86858368
2,Fitness,18.24074173,-66.03705597
2,Fitness,40.03171921,-76.87709808
2,Fitness,32.81010819,-96.68649292
2,Fitness,18.28604889,-66.03705597
2,Fitness,39.68188095,-75.64421082
2,Fitness,34.15893936,-118.1809387
2,Fitness,18.28294563,-66.0370636
2,Fitness,33.81632614,-84.44550324
2,Fitness,18.24103928,-66.0370636
2,Fitness,37.49027634,-121.9271088
2,Fitness,18.26469612,-66.03705597
2,Fitness,43.18824005,-77.56706238
2,Fitness,32.753685,-96.86553955
4,Apparel,18.38011932,-66.18312836
5,Golf,18.23557282,-66.3706131
5,Golf,18.02536774,-66.61303711
5,Golf,18.27383804,-66.37063599
5,Golf,18.2848053,-66.37059021
5,Golf,18.29496765,-66.37050629
5,Golf,18.25571251,-66.37050629
3,Footwear,18.23466301,-66.37059784
3,Footwear,18.26268196,-66.37049866
4,Apparel,18.28279495,-66.37055969
4,Apparel,18.27466202,-66.37058258
3,Footwear,18.2689991,-66.37049866
5,Golf,18.2308178,-66.37052155
6,Outdoors,18.26138115,-66.37056732
6,Outdoors,18.23650742,-66.37051392
3,Footwear,18.35921478,-66.07779694
3,Footwear,18.29944229,-66.37052155
3,Footwear,18.28996849,-66.37054443
4,Apparel,18.2275734,-66.04563141
4,Apparel,18.2988205,-66.37059784
4,Apparel,18.02538109,-66.61508179
4,Apparel,18.25048637,-66.37062836
5,Golf,18.29944229,-66.37052155
5,Golf,18.24069786,-66.37055969
5,Golf,18.26268196,-66.37049866
6,Outdoors,18.21209908,-66.37050629
3,Footwear,18.23131371,-66.37062836
4,Apparel,18.29652023,-66.04867554
4,Apparel,18.28746414,-66.37054443
4,Apparel,18.29108048,-66.37050629
4,Apparel,18.24984551,-66.37050629
4,Apparel,18.25671768,-66.37062836
4,Apparel,18.24754334,-66.0253067
5,Golf,18.27673721,-66.37055206
5,Golf,18.2968483,-66.37050629
5,Golf,18.29609299,-66.37050629
5,Golf,18.29108048,-66.37050629
5,Golf,18.2105732,-66.37058258
5,Golf,18.20111656,-66.37059021
5,Golf,18.21469116,-66.37051392
5,Golf,18.28425598,-66.37058258
5,Golf,18.20666885,-66.37056732
5,Golf,18.35907555,-66.07783508
5,Golf,18.26378822,-66.37052918
5,Golf,18.20330429,-66.37052155
5,Golf,18.22487068,-66.37052155
5,Golf,18.25061035,-66.37062836
5,Golf,18.27340317,-66.37052155
5,Golf,18.29137993,-66.3705368
5,Golf,18.24738884,-66.37057495
5,Golf,18.27920532,-66.37055206
5,Golf,17.98249054,-66.1126709
5,Golf,18.24496079,-66.3705368
5,Golf,18.28453636,-66.37060547
5,Golf,18.28339195,-66.37051392
5,Golf,18.22172546,-66.37059021
5,Golf,18.25333214,-66.37051392
5,Golf,18.22976875,-66.37052918
5,Golf,18.22978401,-66.37054443
5,Golf,18.22758102,-66.04357147
5,Golf,18.22297287,-66.37059021
5,Golf,18.24120712,-66.37050629
5,Golf,18.05199051,-66.50184631
5,Golf,18.20664215,-66.37052918
6,Outdoors,18.27825165,-66.37059784
6,Outdoors,18.27920532,-66.37055206
6,Outdoors,17.98249054,-66.1126709
7,Fan Shop,18.22776032,-66.37059021
2,Fitness,18.2362442,-66.37062073
3,Footwear,18.21949196,-66.37052918
3,Footwear,18.25289154,-66.37058258
3,Footwear,18.22985077,-66.37062073
3,Footwear,18.22190094,-66.37052155
3,Footwear,18.26019096,-66.37052918
3,Footwear,18.28128624,-66.37050629
3,Footwear,18.21101761,-66.37052918
3,Footwear,18.22019768,-66.37058258
3,Footwear,18.25534058,-66.37050629
3,Footwear,18.23215866,-66.37059021
4,Apparel,18.20737648,-66.37055206
4,Apparel,18.27331543,-66.37060547
4,Apparel,18.2626648,-66.3706131
4,Apparel,18.26016426,-66.37059021
4,Apparel,18.24535179,-66.37059784
4,Apparel,18.21775055,-66.37060547
4,Apparel,18.29214859,-66.3706131
3,Footwear,18.26737404,-66.37062836
4,Apparel,18.29659462,-66.37059021
4,Apparel,18.27468491,-66.37056732
4,Apparel,18.21944618,-66.37057495
4,Apparel,18.23975563,-66.37059021
7,Fan Shop,18.2643261,-66.37060547
7,Fan Shop,18.21944618,-66.37057495
10,Technology,18.27085495,-66.03705597
10,Technology,18.23665237,-66.0370636
10,Technology,18.28206062,-66.03705597
10,Technology,18.21524239,-66.03705597
10,Technology,18.25598526,-66.03705597
10,Technology,18.28172112,-66.03705597
10,Technology,18.23458481,-66.03705597
10,Technology,18.25249672,-66.03704834
10,Technology,18.25508499,-66.03705597
10,Technology,18.28042221,-66.0370636
10,Technology,18.23288918,-66.0370636
10,Technology,18.22864342,-66.0370636
10,Technology,18.29532433,-66.03705597
10,Technology,18.24217796,-66.0370636
10,Technology,18.25569725,-66.0370636
10,Technology,18.26639938,-66.0370636
10,Technology,18.23524284,-66.03705597
10,Technology,18.25786781,-66.03705597
10,Technology,18.22337914,-66.03705597
10,Technology,18.23107529,-66.03705597
10,Technology,18.26862907,-66.03705597
10,Technology,18.22708893,-66.0370636
10,Technology,18.23437882,-66.03705597
10,Technology,18.29236603,-66.0370636
10,Technology,18.21356773,-66.0370636
10,Technology,18.2920475,-66.0370636
10,Technology,18.24609184,-66.0370636
10,Technology,18.20939446,-66.03705597
10,Technology,18.29184341,-66.03704834
2,Fitness,18.2275734,-66.0437088
2,Fitness,18.28542137,-66.37056732
2,Fitness,18.24692345,-66.37057495
3,Footwear,18.23379898,-66.37056732
3,Footwear,18.24496079,-66.3705368
3,Footwear,18.23220825,-66.37062836
3,Footwear,18.26521111,-66.37055206
